target_hole,target_machine,evaluation_days,special_day_type,score_method,result_key,evaluation_days_count,total_machines,avg_machines_per_day,win_days,win_rate,total_diff,avg_diff,payout_rate
アイランド秋葉原店,Lバンドリ！,120,island,rms_frequency,THRESHOLD_98PCT,69,87,1.26,33,37.93,41057,472,99.79
アイランド秋葉原店,Lバンドリ！,120,island,rms_frequency,THRESHOLD_99PCT,69,82,1.19,31,37.8,43585,532,99.99
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,original,TOP1,13,13,1,6,46.15,12274,944,102.04
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,original,THRESHOLD_98PCT,13,18,1.38,8,44.44,5353,297,99.67
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,original,THRESHOLD_99PCT,13,16,1.23,7,43.75,7112,445,100.09
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,rms_frequency,TOP1,13,13,1,8,61.54,14988,1153,105.7
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,rms_frequency,THRESHOLD_98PCT,13,21,1.62,11,52.38,15785,752,102.2
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,14,island,rms_frequency,THRESHOLD_99PCT,13,16,1.23,10,62.5,18776,1174,105.82
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,original,TOP1,27,27,1,13,48.15,19437,720,102.03
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,original,THRESHOLD_98PCT,27,35,1.3,16,45.71,9609,275,99.42
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,original,THRESHOLD_99PCT,27,31,1.15,14,45.16,12764,412,99.95
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,rms_frequency,TOP1,27,27,1,13,48.15,9767,362,101.41
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,rms_frequency,THRESHOLD_98PCT,27,39,1.44,19,48.72,12541,322,100.58
アイランド秋葉原店,L戦国乙女４　戦乱に閃く炯眼の軍師,28,island,rms_frequency,THRESHOLD_99PCT,27,32,1.19,17,53.13,15631,488,102.16
